"OBJECTID","POLY_ID","LAND_AREA","WATER_AREA","FRESH_AREA","OCEAN_AREA","TOTAL_AREA"
545,26002,24140,117,117,0,24257
546,26003,42188,0,0,0,42188
547,26004,79368,117003,123,116880,196371
548,26005,44079,96192,0,96192,140271
549,26006,101343,71267,147,71120,172610
550,26007,165931,300782,743,300039,466713
551,26008,24213,3306,56,3250,27519
552,26009,9081,41,41,0,9122
553,26010,117528,278908,1604,277304,396436
554,26011,52025,31349,0,31349,83374
555,26012,83297,309021,250,308771,392318
556,26013,4896,1529,0,1529,6425
557,26014,54491,4750,1339,3411,59241
558,26015,12179,4606,1401,3205,16785
559,26016,65516,28152,3364,24788,93668
560,27001,76180,510829,68,510761,587009
561,27002,9508,0,0,0,9508
562,27003,7917,0,0,0,7917
563,27004,168465,593318,215,593103,761783
564,27005,134314,479115,7216,471899,613429
565,27006,424478,685328,7524,677804,1109806
566,27007,126896,325527,1133,324394,452423
567,27008,33915,153188,1492,151696,187103
568,27009,9073,0,0,0,9073
569,27010,29359,107270,1424,105846,136629
570,27011,65780,0,0,0,65780
571,27012,39548,275060,1332,273728,314608
572,27013,42296,90016,171,89845,132312
573,27014,18565,7166,44,7122,25731
574,27015,202840,146899,331,146568,349739
575,27016,26589,0,0,0,26589
576,27017,95815,54463,325,54138,150278
577,27018,117403,646258,0,646258,763661
578,27019,128937,945771,723,945048,1074708
579,27020,6264,97276,0,97276,103540
580,27021,64415,498503,0,498503,562918
581,27022,168809,665461,3384,662077,834270
582,27023,14799,0,0,0,14799
583,27024,109225,425583,20,425563,534808
584,27025,56510,0,0,0,56510
585,27026,8095,69512,0,69512,77607
586,27027,1334,139712,0,139712,141046
587,27028,28846,0,0,0,28846
588,27029,13785,157001,0,157001,170786
589,27030,561859,1747344,2070,1745274,2309203
590,27031,68968,274982,0,274982,343950
591,27032,28666,936,0,936,29602
592,27033,40017,10741,1,10740,50758
593,27034,142074,0,0,0,142074
594,27035,4416,0,0,0,4416
595,27036,19198,0,0,0,19198
596,27037,46676,2824,0,2824,49500
597,27038,9670,24818,0,24818,34488
598,27039,12005,138896,0,138896,150901
599,27040,14242,29949,0,29949,44191
600,27041,4299,29486,0,29486,33785
601,27042,10619,0,0,0,10619
602,28001,76288,385178,740,384438,461466
603,28002,49316,98846,718,98128,148162
604,28003,13922,32484,848,31636,46406
605,28004,373402,302295,836,301459,675697
606,28005,139631,30780,345,30435,170411
607,28006,21137,24396,2388,22008,45533
608,28007,124167,405581,771,404810,529748
609,28008,49751,0,0,0,49751
610,28009,1707,5489,0,5489,7196
611,28010,2190,3413,1366,2047,5603
612,28011,2710,611,0,611,3321
613,28012,4441,2283,92,2191,6724
614,28013,7681,0,0,0,7681
615,28014,78769,868378,913,867465,947147
616,28015,2685,5594,0,5594,8279
617,28016,4393,2713,342,2371,7106
618,29001,3383,54346,0,54346,57729
619,29002,1994,43118,0,43118,45112
620,29003,15442,145489,191,145298,160931
621,29004,39158,261685,44,261641,300843
622,29005,30982,585854,164,585690,616836
623,29006,249759,571613,3140,568473,821372
624,29007,1709,1966,0,1966,3675
625,29008,8383,5744,101,5643,14127
626,29009,2513,1192,0,1192,3705
627,29010,4362,0,0,0,4362
628,29011,134293,463241,845,462396,597534
629,29012,26477,0,0,0,26477
630,29013,15787,23420,234,23186,39207
631,29014,32017,0,0,0,32017
632,29015,6052,20865,0,20865,26917
633,30001,77317,81209,0,81209,158526
634,30002,132624,111488,1921,109567,244112
635,30003,21850,0,0,0,21850
636,30004,12169,3917,0,3917,16086
637,30005,33339,19879,0,19879,53218
