"OBJECTID","CMP_ID","CFRAG1","CFRAG2","DEPTH","RESTR_TYPE","AWHC"
489,38000301,"A","A","5","-","1"
490,38000302,"A","A","5","-","1"
491,38000303,"A","A","5","-","3"
492,38000304,"A","B","5","-","3"
493,38000305,"A","A","5","-","5"
494,38000306,"A","A","5","-","4"
495,38000307,"A","A","5","-","5"
496,38000308,"A","A","5","-","1"
497,38000309,"A","B","5","-","3"
498,38000401,"A","A","5","-","4"
499,38000402,"A","A","5","-","5"
500,38000403,"A","B","5","-","3"
501,38000404,"B","B","5","-","3"
502,38000405,"A","B","5","-","4"
503,38000406,"A","A","5","-","5"
504,38000407,"A","A","5","-","5"
505,38000408,"A","A","5","-","1"
506,38000409,"A","A","5","-","4"
507,38000410,"A","A","5","-","4"
508,38000411,"A","A","5","-","1"
509,38000501,"A","A","5","-","5"
510,38000502,"A","A","5","-","4"
511,38000503,"A","B","5","-","3"
512,38000504,"A","A","5","-","5"
513,38000505,"A","A","5","-","5"
514,38000506,"A","B","5","-","4"
515,38000507,"A","A","5","-","4"
516,38000508,"A","A","5","-","5"
517,38000509,"A","A","5","-","1"
518,38000510,"A","A","5","-","1"
519,38000511,"A","A","5","-","1"
520,38000601,"A","A","5","-","5"
521,38000602,"A","A","5","-","5"
522,38000603,"A","A","5","-","5"
523,38000604,"A","A","5","-","5"
524,38000605,"A","A","5","-","5"
525,38000606,"A","A","5","-","5"
526,38000607,"A","A","5","-","2"
527,38000608,"A","A","5","-","5"
528,38100201,"-","-","-","-","-"
529,38100202,"A","A","5","-","5"
530,38100203,"A","A","5","-","5"
531,38100204,"A","A","5","-","5"
532,38300301,"A","A","5","-","5"
533,38300302,"A","A","5","-","5"
534,38300303,"A","A","5","-","5"
535,38300304,"A","A","5","-","5"
536,38300501,"A","A","5","-","5"
537,38300502,"-","-","-","-","-"
538,38300503,"A","A","5","-","5"
539,40102101,"A","A","5","-","5"
540,40102102,"A","A","5","-","5"
541,40102103,"A","A","5","-","5"
542,40102104,"A","A","5","-","4"
543,40102105,"A","A","5","-","5"
544,40102301,"A","A","5","-","5"
545,40102302,"A","A","5","-","5"
546,40102303,"A","A","5","-","5"
547,40102601,"A","A","5","-","5"
548,40102602,"A","A","5","-","5"
549,40102603,"A","A","5","-","5"
550,40102901,"B","C","2","CT","3"
551,40102902,"-","-","-","LI","-"
552,40103501,"A","A","5","-","5"
553,40103502,"A","A","5","-","5"
554,40103503,"A","A","5","-","5"
555,40104601,"A","A","5","-","5"
556,40104602,"A","A","5","-","5"
557,40104701,"A","A","5","-","5"
558,40104702,"A","A","5","-","5"
559,40104703,"A","A","5","-","5"
560,40105001,"A","A","5","-","5"
561,40105002,"A","A","5","-","5"
562,40105101,"A","A","5","-","5"
563,40105102,"A","A","5","-","5"
564,40105103,"A","A","5","-","5"
565,40105501,"A","A","5","-","5"
566,40105502,"A","A","5","-","5"
567,40105901,"A","A","5","-","5"
568,40105902,"A","A","5","-","5"
569,40106301,"A","A","5","-","5"
