"OBJECTID","LF_ID","POLY_ID","LF_TYPE","LF_SLOPE","LF_EXTENT"
348,"401021IB",401021,"I","B",80
349,"401021UA",401021,"U","A",20
350,"401023UA",401023,"U","A",100
351,"401026UB",401026,"U","B",100
352,"401029RB",401029,"R","B",70
353,"401029RC",401029,"R","C",30
354,"401035LA",401035,"L","A",100
355,"401046LA",401046,"L","A",70
356,"401046LA",401046,"L","A",30
357,"401047LA",401047,"L","A",100
358,"401050LA",401050,"L","A",100
359,"401051LA",401051,"L","A",100
360,"401055LA",401055,"L","A",100
361,"401059LA",401059,"L","A",100
362,"401063LA",401063,"L","A",100
363,"401064LA",401064,"L","A",100
364,"401066UA",401066,"U","A",100
365,"401067LA",401067,"L","A",100
366,"401069LA",401069,"L","A",75
367,"401069MC",401069,"M","C",25
368,"401070UA",401070,"U","A",100
369,"401071LA",401071,"L","A",100
370,"401073UA",401073,"U","A",100
371,"401075LA",401075,"L","A",70
372,"401075MC",401075,"M","C",30
373,"401076UA",401076,"U","A",100
374,"401077UA",401077,"U","A",100
375,"401078UA",401078,"U","A",100
376,"401081LA",401081,"L","A",75
377,"401081MC",401081,"M","C",25
378,"401083UA",401083,"U","A",100
379,"401086UA",401086,"U","A",100
380,"401087LA",401087,"L","A",65
381,"401087UA",401087,"U","A",35
382,"401092LA",401092,"L","A",75
383,"401092UA",401092,"U","A",25
384,"401095LA",401095,"L","A",70
385,"401095UA",401095,"U","A",30
386,"401096LA",401096,"L","A",100
387,"401097LA",401097,"L","A",100
388,"401098LA",401098,"L","A",100
389,"401100LA",401100,"L","A",100
390,"401102MB",401102,"M","B",70
391,"401102MC",401102,"M","C",30
392,"401106LA",401106,"L","A",100
393,"401110LA",401110,"L","A",100
394,"401121LA",401121,"L","A",25
395,"401121LA",401121,"L","A",75
396,"401125LA",401125,"L","A",70
397,"401125MC",401125,"M","C",30
398,"401130MB",401130,"M","B",70
399,"401130MC",401130,"M","C",30
400,"401137LA",401137,"L","A",100
401,"401140LA",401140,"L","A",100
402,"401141LA",401141,"L","A",100
403,"407005HC",407005,"H","C",100
404,"407007HC",407007,"H","C",100
405,"408002LA",408002,"L","A",70
406,"408002MC",408002,"M","C",30
407,"408006HB",408006,"H","B",40
408,"408006LA",408006,"L","A",60
409,"408007LA",408007,"L","A",75
410,"408007MC",408007,"M","C",25
411,"408010LA",408010,"L","A",70
412,"408010MC",408010,"M","C",30
413,"408011UA",408011,"U","A",100
